Date,2015 Bar Earnings,Day,2016 Bar Earnings,Day2,2017 Bar Earnings,Day3,Weather,Events/Specials/Notes
3/17,CLOSED,,2430.7,Thursday,CLOSED,Friday,,
3/18,CLOSED,,255.49,Friday,CLOSED,Saturday,,
3/19,CLOSED,,5413.1,Saturday,CLOSED,Sunday,,
3/20,CLOSED,,59.84,Sunday,CLOSED,Monday,,
3/21,CLOSED,,230.54,Monday,CLOSED,Tuesday,,
3/22,CLOSED,,834.95,Tuesday,CLOSED,Wednesday,,
3/23,CLOSED,,1650.88,Wednesday,CLOSED,Thursday,,
3/24,CLOSED,,621.23,Thursday,CLOSED,Friday,,
3/25,CLOSED,,843.48,Friday,CLOSED,Saturday,,
3/26,CLOSED,,287.61,Saturday,CLOSED,Sunday,,
3/27,CLOSED,,682.83,Sunday,CLOSED,Monday,,
3/28,CLOSED,,,Monday,CLOSED,Tuesday,,
3/29,CLOSED,,706.72,Tuesday,CLOSED,Wednesday,,
3/30,CLOSED,,585.95,Wednesday,CLOSED,Thursday,,
3/31,CLOSED,,,Thursday,CLOSED,Friday,,
4/1,CLOSED,,2437.39,Friday,CLOSED,Saturday,,
4/2,CLOSED,,411.16,Saturday,CLOSED,Sunday,,
4/3,CLOSED,,,Sunday,CLOSED,Monday,,
4/4,CLOSED,,,Monday,CLOSED,Tuesday,,
4/5,CLOSED,,344.31,Tuesday,CLOSED,Wednesday,,
4/6,CLOSED,,25.95,Wednesday,CLOSED,Thursday,,
4/7,CLOSED,,379.56,Thursday,CLOSED,Friday,,
4/8,CLOSED,,255.52,Friday,CLOSED,Saturday,,
4/9,CLOSED,,,Saturday,CLOSED,Sunday,,
4/10,CLOSED,,486.75,Sunday,1743.46,Monday,59 / 43,"Sunday Drink Special ""Friskey Whiskey"" $10"
4/11,CLOSED,,1492.68,Monday,2651.46,Tuesday,80 / 61,Happy Hours
4/12,CLOSED,,764.64,Tuesday,1312.57,Wednesday,76 / 58,Happy Hour
4/13,CLOSED,,1088.87,Wednesday,2439.79,Thursday,65 / 48,"Bon Jovi Concert MSG - ""Runaway Skyline"" $10"
4/14,CLOSED,,1487,Thursday,2145.79,Friday,66 / 48,Billy Joel Concert MSG - $6 Wines
4/15,CLOSED,,1505.26,Friday,1724.89,Saturday,65 / 51,"Bon Jovi Concert MSG - ""Runaway Skyline"" $10"
4/16,CLOSED,,1431.83,Saturday,1458.46,Sunday,87 / 59,"Rangers MSG - ""Blue Skyline"" $10"
4/17,CLOSED,,1256.2,Sunday,771.57,Monday,74 / 58,Happy Hour
4/18,CLOSED,,1513.08,Monday,329.08,Tuesday,67 / 47,"Rangers MSG - ""Blue Skyline"" $10"
4/19,CLOSED,,1104.55,Tuesday,CLOSED,Wednesday,54 / 46,
4/20,CLOSED,,1114.3,Wednesday,CLOSED,Thursday,66 / 50,
4/21,CLOSED,,1985.08,Thursday,701.39,Friday,53 / 48,Happy Hour
4/22,CLOSED,,1385.1,Friday,CLOSED,Saturday, 57 / 49,"Rangers MSG - ""Blue Skyline"" $10"
4/23,CLOSED,,1163.63,Saturday,654.92,Sunday,66 / 46,Happy Hour
4/24,CLOSED,,579.67,Sunday,1044.89,Monday,60 / 48,Happy Hour
4/25,CLOSED,,957.36,Monday,CLOSED,Tuesday,54 / 49,
4/26,CLOSED,,1459.42,Tuesday,CLOSED,Wednesday,60 / 53,
4/27,CLOSED,,2832.2,Wednesday,CLOSED,Thursday,70 / 57,
4/28,CLOSED,,902.52,Thursday,2258.61,Friday,85 / 58,Happy Hour
4/29,CLOSED,,750.38,Friday,2799.34,Saturday,84 / 55,Happy Hour
4/30,CLOSED,,1146.65,Saturday,,Sunday,61 / 52 ,
5/1,CLOSED,,,Sunday,1245.73,Monday,74/49,Happy Hour
5/2,CLOSED,,1761.79,Monday,769.4,Tuesday,75/62,Happy Hour
5/3,CLOSED,,302.42,Tuesday,1137.46,Wednesday,65/51,"Rangers MSG - ""Blue Skyline"" $10"
5/4,CLOSED,,204.8,Wednesday,943.42,Thursday,64/47,Happy Hour
5/5,CLOSED,,1166.01,Thursday,CLOSED,Friday,Rain,"Rangers MSG - ""Blue Skyline"" $10"
5/6,CLOSED,,,Friday,1801.8,Saturday,67/52,Happy Hour
5/7,CLOSED,,923.87,Saturday,227.17,Sunday,54/47,Happy Hour
5/8,CLOSED,,849.14,Sunday,1138.65,Monday,57/44,Happy Hour
5/9,CLOSED,,860.96,Monday,1430.03,Tuesday,63/47,"Rangers MSG - ""Blue Skyline"" $10"
5/10,CLOSED,,463.68,Tuesday,1843.52,Wednesday,63/49,Happy Hour
5/11,CLOSED,,2317.42,Wednesday,1590.81,Thursday,62/51,Happy Hour
5/12,CLOSED,,2286.17,Thursday,2812.24,Friday,65/48,Happy Hour
5/13,CLOSED,,827.45,Friday,CLOSED,Saturday,Rain,Happy Hour
5/14,CLOSED,,1446.41,Saturday,855,Sunday,67/46,"$8 Mimosas & Bellini's ""Mother's Day Special"""
5/15,CLOSED,,386.35,Sunday,1238.59,Monday,68/53,Happy Hour
5/16,CLOSED,,993.08,Monday,3083.7,Tuesday,76/58,Happy Hour
5/17,CLOSED,,1025.93,Tuesday,,Wednesday,,
5/18,CLOSED,,1429.75,Wednesday,,Thursday,,
5/19,CLOSED,,2791.49,Thursday,,Friday,,
5/20,CLOSED,,2385.57,Friday,,Saturday,,
5/21,CLOSED,,1251.74,Saturday,,Sunday,,
5/22,CLOSED,,1113.89,Sunday,,Monday,,
5/23,CLOSED,,1500.58,Monday,,Tuesday,,
5/24,CLOSED,,1261.56,Tuesday,,Wednesday,,
5/25,CLOSED,,2039.96,Wednesday,,Thursday,,
5/26,CLOSED,,2067.59,Thursday,,Friday,,
5/27,CLOSED,,3174.22,Friday,,Saturday,,
5/28,CLOSED,,2181.15,Saturday,,Sunday,,
5/29,CLOSED,,2024.88,Sunday,,Monday,,
5/30,CLOSED,,1086.77,Monday,,Tuesday,,
5/31,CLOSED,,1163.94,Tuesday,,Wednesday,,
6/1,CLOSED,,2296.04,Wednesday,,Thursday,,
6/2,CLOSED,,2107.22,Thursday,,Friday,,
6/3,CLOSED,,1974.69,Friday,,Saturday,,
6/4,CLOSED,,960.06,Saturday,,Sunday,,
6/5,CLOSED,,CLOSED,Sunday,,Monday,,
6/6,CLOSED,,1478.06,Monday,,Tuesday,,
