Year,EST,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,Date,EDT
2015,2015-1-1,39,33,27,18,10,5,44,36,27,30.19,30.08,29.99,10,10,10,23,14,31,0.00,1,,242,2015-01-01,NA
2015,2015-1-2,42,39,35,22,18,15,56,46,36,30.46,30.22,30.02,10,10,10,25,14,32,0.00,4,,277,2015-01-02,NA
2015,2015-1-3,41,36,31,40,29,19,100,75,50,30.6,30.44,30.09,10,4,1,16,10,20,0.67,7,Rain-Snow,61,2015-01-03,NA
2015,2015-1-4,57,49,41,52,44,30,100,92,83,30.07,29.85,29.66,10,6,0,30,11,44,0.31,8,Fog-Rain,220,2015-01-04,NA
2015,2015-1-5,50,36,22,28,13,3,53,40,27,30.41,30.12,29.8,10,10,10,32,21,49,0.00,3,,294,2015-01-05,NA
2015,2015-1-6,22,20,18,14,10,1,80,61,41,30.43,30.25,30.02,10,6,0,21,8,26,0.05,7,Snow,257,2015-01-06,NA
2015,2015-1-7,25,18,10,12,5,-6,68,52,35,30.28,30.04,29.93,10,10,2,36,20,46,T,4,Snow,289,2015-01-07,NA
2015,2015-1-8,21,15,8,1,-3,-7,58,51,43,30.44,30.35,30.22,10,10,10,28,14,36,0.00,3,,264,2015-01-08,NA
2015,2015-1-9,33,26,19,19,11,2,88,62,36,30.22,30.07,29.99,10,8,0,32,16,41,0.12,6,Fog-Snow,243,2015-01-09,NA
2015,2015-1-10,24,21,17,4,0,-3,49,42,34,30.59,30.44,30.24,10,10,10,22,14,30,0.00,0,,274,2015-01-10,NA
2015,2015-1-11,37,28,19,18,6,-1,47,40,32,30.69,30.6,30.49,10,10,10,18,9,23,0.00,6,,223,2015-01-11,NA
2015,2015-1-12,37,36,34,36,30,15,92,68,44,30.48,30.24,30.11,10,6,1,14,6,18,0.39,8,Rain,265,2015-01-12,NA
2015,2015-1-13,36,27,17,29,14,4,82,64,46,30.64,30.5,30.24,10,10,10,24,14,32,0.00,4,,3,2015-01-13,NA
2015,2015-1-14,32,25,17,21,15,4,73,64,54,30.58,30.38,30.18,10,10,10,17,10,23,0.00,7,,34,2015-01-14,NA
2015,2015-1-15,34,30,25,21,17,14,75,59,43,30.18,30.07,29.91,10,10,10,17,10,23,0.00,3,,298,2015-01-15,NA
2015,2015-1-16,42,31,20,19,14,3,53,44,35,30.23,29.94,29.81,10,10,10,37,18,46,0.00,2,,282,2015-01-16,NA
2015,2015-1-17,30,24,17,19,7,-2,58,43,27,30.4,30.33,30.23,10,10,10,22,10,26,0.00,2,,263,2015-01-17,NA
2015,2015-1-18,43,36,29,40,33,20,100,82,63,30.22,29.92,29.7,10,5,0,18,5,23,1.98,7,Rain,21,2015-01-18,NA
2015,2015-1-19,42,40,37,32,26,20,82,63,44,29.88,29.81,29.72,10,10,10,28,15,37,0.00,6,,276,2015-01-19,NA
2015,2015-1-20,40,36,32,24,20,10,59,50,41,30.05,29.93,29.86,10,10,10,18,11,22,0.00,6,,308,2015-01-20,NA
2015,2015-1-21,35,30,25,16,10,5,55,43,30,30.19,30.14,30.06,10,10,10,12,7,16,T,6,,42,2015-01-21,NA
2015,2015-1-22,39,35,31,24,21,14,78,63,47,30.33,30.22,30.15,10,10,7,20,8,24,T,5,Snow,343,2015-01-22,NA
2015,2015-1-23,39,34,28,26,19,15,64,54,44,30.35,30.21,29.99,10,10,8,23,10,28,0.00,4,,268,2015-01-23,NA
2015,2015-1-24,40,36,32,34,30,23,96,75,54,29.95,29.6,29.28,10,4,0,24,12,31,0.73,7,Fog-Rain-Snow,356,2015-01-24,NA
2015,2015-1-25,42,36,30,28,19,9,70,50,30,30,29.76,29.5,10,10,8,25,14,31,0.00,5,,299,2015-01-25,NA
2015,2015-1-26,30,26,22,24,18,5,96,69,42,30.03,29.89,29.69,10,3,0,29,19,38,0.25,8,Fog-Snow,38,2015-01-26,NA
2015,2015-1-27,28,24,19,22,17,9,88,75,62,29.85,29.69,29.64,10,5,0,28,17,38,0.21,7,Fog-Snow,350,2015-01-27,NA
2015,2015-1-28,34,26,17,11,7,2,67,51,34,30.27,30.06,29.86,10,10,10,21,12,28,0.00,1,,330,2015-01-28,NA
2015,2015-1-29,36,29,21,27,15,2,75,56,36,30.34,30.2,30,10,9,1,13,7,17,0.01,6,Snow,149,2015-01-29,NA
2015,2015-1-30,37,29,20,30,22,7,92,71,50,30.01,29.9,29.82,10,8,1,36,18,46,0.07,6,Snow,285,2015-01-30,NA
2015,2015-1-31,26,20,13,8,4,0,61,47,33,30.21,30.12,30.02,10,10,10,35,22,46,0.00,0,,311,2015-01-31,NA
2015,2015-2-1,36,28,20,29,18,7,92,70,47,30.23,30.14,30,10,8,1,16,8,21,0.02,7,Snow,238,2015-02-01,NA
2015,2015-2-2,33,24,15,31,23,5,92,77,61,29.97,29.61,29.4,10,4,0,32,17,40,1.08,8,Fog-Rain-Snow,15,2015-02-02,NA
2015,2015-2-3,28,21,14,12,8,4,67,57,46,30.32,30.22,29.99,10,10,10,26,12,35,0.00,3,,271,2015-02-03,NA
2015,2015-2-4,41,32,23,31,22,11,70,63,55,30.32,30.15,29.92,10,10,9,13,6,16,0.00,7,,206,2015-02-04,NA
2015,2015-2-5,40,27,14,30,14,-3,82,59,36,30.23,30.01,29.83,10,9,2,30,18,41,T,6,Snow,326,2015-02-05,NA
2015,2015-2-6,27,20,12,8,2,-2,64,51,37,30.28,30.19,30.1,10,10,10,23,12,31,0.00,3,,282,2015-02-06,NA
2015,2015-2-7,36,31,26,27,19,10,85,66,46,30.17,30.09,29.99,10,8,1,15,8,20,0.01,8,Snow,223,2015-02-07,NA
2015,2015-2-8,36,33,30,32,30,25,96,86,75,29.99,29.92,29.86,10,5,2,20,12,25,0.00,8,,50,2015-02-08,NA
2015,2015-2-9,31,29,26,23,21,19,81,75,69,30.03,30,29.94,10,9,3,24,17,31,0.07,8,Rain-Snow,45,2015-02-09,NA
2015,2015-2-10,39,33,26,25,20,18,75,65,54,30.06,30.04,30,10,10,5,21,12,25,T,7,Snow,14,2015-02-10,NA
2015,2015-2-11,33,28,22,17,13,10,65,52,39,30.1,30.02,29.92,10,10,10,21,9,26,0.00,2,,46,2015-02-11,NA
2015,2015-2-12,40,29,17,28,20,1,78,62,46,29.92,29.79,29.7,10,8,2,33,13,41,T,7,Snow,260,2015-02-12,NA
2015,2015-2-13,22,16,9,0,-3,-5,63,48,33,30.18,30.1,29.96,10,10,10,33,17,41,0.00,1,,310,2015-02-13,NA
2015,2015-2-14,32,24,16,23,14,-4,78,59,39,30.12,29.71,29.44,10,7,1,20,8,25,0.01,7,Snow,214,2015-02-14,NA
2015,2015-2-15,26,16,5,19,3,-9,75,57,39,30.12,29.78,29.44,10,9,5,37,27,48,T,5,Snow,313,2015-02-15,NA
2015,2015-2-16,21,13,4,-4,-7,-10,60,44,28,30.22,30.15,30.08,10,10,10,31,13,38,0.00,5,,314,2015-02-16,NA
2015,2015-2-17,28,21,14,13,10,-4,80,58,35,30.05,29.94,29.86,10,6,1,15,7,21,0.13,7,Snow,43,2015-02-17,NA
2015,2015-2-18,31,25,18,21,14,9,71,59,46,29.94,29.82,29.73,10,9,2,16,7,22,T,5,Snow,110,2015-02-18,NA
2015,2015-2-19,27,18,9,12,0,-9,60,44,28,30.01,29.82,29.71,10,10,10,32,21,40,0.00,4,,296,2015-02-19,NA
2015,2015-2-20,21,12,3,-2,-8,-14,49,40,31,30.5,30.26,30.04,10,10,10,30,17,38,0.00,0,,287,2015-02-20,NA
2015,2015-2-21,32,23,14,29,16,-6,92,64,35,30.53,30.35,30.16,10,5,0,18,9,24,0.59,7,Fog-Rain-Snow,205,2015-02-21,NA
2015,2015-2-22,42,37,31,30,29,25,92,76,59,30.19,30.15,30.13,10,6,2,15,5,21,0.11,7,Rain-Snow,273,2015-02-22,NA
2015,2015-2-23,38,23,8,25,4,-9,59,46,32,30.41,30.29,30.18,10,10,10,28,18,39,0.00,5,,319,2015-02-23,NA
2015,2015-2-24,25,16,6,14,0,-10,62,51,39,30.4,30.19,29.85,10,10,10,21,9,24,0.00,4,,240,2015-02-24,NA
2015,2015-2-25,38,30,21,17,12,9,71,52,32,30,29.86,29.76,10,10,10,23,10,30,0.00,3,,279,2015-02-25,NA
2015,2015-2-26,32,27,21,18,10,4,68,52,36,30.16,30.02,29.92,10,10,6,17,11,24,T,8,Snow,16,2015-02-26,NA
2015,2015-2-27,30,25,19,8,6,1,57,44,31,30.62,30.39,30.17,10,10,10,20,10,24,0.00,4,,337,2015-02-27,NA
2015,2015-2-28,30,23,15,4,0,-2,51,40,29,30.82,30.75,30.64,10,10,10,20,6,23,0.00,2,,318,2015-02-28,NA
2015,2015-3-1,30,27,24,26,18,2,88,60,32,30.72,30.44,30.15,10,5,0,16,5,20,0.48,7,Fog-Rain-Snow,191,2015-03-01,NA
2015,2015-3-2,38,33,28,27,19,11,85,60,35,30.37,30.15,30.02,10,9,7,31,15,40,T,5,,308,2015-03-02,NA
2015,2015-3-3,36,30,24,32,21,9,89,68,46,30.46,30.2,29.81,10,6,0,18,9,22,0.72,7,Fog-Rain-Snow,195,2015-03-03,NA
2015,2015-3-4,47,42,36,39,35,32,92,81,70,29.91,29.84,29.74,10,6,3,16,9,22,0.25,8,Rain,225,2015-03-04,NA
2015,2015-3-5,41,31,20,36,23,5,92,69,46,30.38,30.11,29.89,10,3,0,24,12,30,0.60,8,Fog-Rain-Snow,331,2015-03-05,NA
2015,2015-3-6,28,22,15,8,4,2,59,46,33,30.55,30.46,30.35,10,10,9,21,7,25,0.00,2,,317,2015-03-06,NA
2015,2015-3-7,39,30,20,20,12,5,57,48,38,30.34,30.19,30.06,10,10,10,18,10,26,0.00,4,,243,2015-03-07,NA
2015,2015-3-8,49,42,35,29,24,19,64,49,34,30.15,30.07,30.02,10,10,10,25,8,33,0.00,5,,263,2015-03-08,NA
2015,2015-3-9,54,45,36,31,25,22,62,47,32,30.26,30.16,30.11,10,10,10,20,7,28,0.02,3,Rain,267,2015-03-09,NA
2015,2015-3-10,54,44,33,37,31,25,92,74,56,30.32,30.18,29.99,10,6,1,12,6,18,0.42,7,Rain,61,2015-03-10,NA
